N,blocksize,time_ns,chunks
1024,128,262170500,8
1024,256,80957600,4
1024,512,28814600,2
2048,128,2234802200,16
2048,256,645652700,8
2048,512,228383200,4
4096,256,5306003300,16
4096,512,1780625400,8
4096,1024,525225000,4
8192,256,44703255800,32
8192,512,14737828400,16
8192,1024,4014717600,8
8192,2048,1935803600,4
16384,256,375222695400,64
16384,512,126022599000,32
16384,1024,41832027300,16
16384,2048,30539487177,8
16384,4096,10800783900,4
65536,4096,812786511100,16
65536,8192,637611920600,8
65536,16384,622136449800,4
